,core_atom_type,core_atom_id,mu_x (debye),mu_y (debye),mu_z (debye),P_x (uC/cm^2),P_y (uC/cm^2),P_z (uC/cm^2),volume (angstrom^3)
0,Al,17,2.368436057547692,0.7004134774764945,22.288571589407944,3794.755742675013,1122.2165181241685,35711.19632526782,0.20818871014003354
1,Al,18,2.1146051321665635,2.540287393449789,18.32087035660438,216.0403974167381,259.5305807620606,1871.76700399192,3.264928323770235
2,Al,19,1.2994413995422558,2.390285065259241,26.552651379582443,129.91134030131784,238.9681725081541,2654.594913237578,3.3364834327324293
3,Al,20,1.3249710186298298,6.537652391274838,25.248089464088096,133.55345266101983,658.9774696017415,2544.9383221304583,3.3092577609171396
4,Al,21,1.126363205189493,3.4989227295468983,21.394255725532886,115.93243536626547,360.1312892021456,2202.032308656981,3.240804498198309
5,Al,22,2.160231790208205,4.054528676338967,18.209814918309217,219.24849883325086,411.50645490593797,1848.1695357727488,3.286571323169794
6,Al,23,3.4566714152339153,22.573205287655124,22.410694442896613,108.28209342341825,707.1178108083105,702.0270710877495,10.648312595428413
7,Al,24,2.168346767798337,1.1410754558925318,8.299217314464217,217.80358564990385,114.61742627210918,833.630172084258,3.3208025118686813
8,Al,25,1.9802720210817946,43.29313137252378,34.791507966746636,40.613207888762325,887.8946558197025,713.5356813480164,16.264356847428783
9,Al,26,4.9854330007755046,-49.37510790545938,23.662874858120404,97.2275761814859,-962.9298126362106,461.48127305752337,17.1038060045527
10,Al,27,19.182161589387572,-14.695893667084787,20.81264583122354,177.43340263384326,-135.93579670075405,192.5152465450046,36.06131015405769
11,Al,28,21.601163043663394,4.744505367321269,31.032131257506705,679.0686057450811,149.1514432914769,975.5468288322135,10.610670275191234
12,Al,29,1.8001416301316902,2.4863863434709708,10.8677659893233,4496.670646654758,6210.878244125301,27147.177478100966,0.13353494542837233
13,Al,30,3.3838397564393103,3.027466183738798,17.063566891738308,348.63116664648885,311.91461286283885,1758.029830253229,3.2375979506112196
14,Al,31,24.29473584348103,3.899705488100062,18.15422355270239,70928.23260321011,11385.150253370453,53001.069827324885,0.11425425432123451
