identifier,value1,value2,value3,diff1,diff2,diff3,a,b,c,parabol_min,parabol_min_diff,value4,diff4
4 13  1,0.3329,0.3339,0.3334,16975.52522,17023.16057,16994.88318,17838853.66,-11847312.27,1984001.024,0.3320648426,16963.08245,0.3320648426,16963.08245
4 13  2,1.8217,1.8227,1.8222,16942.43721,16948.32666,16944.96097,1683848.402,-6130727.661,5597285.048,1.820451191,16939.81083,1.820451191,16939.81083
4 13  3,10.13865,10.15115,10.1449,16930.07205,16940.91897,16937.1637,-42705.78383,867359.5668,-4387102.51,10.15505968,16941.57138,10.13865,16930.07167
4 13  4,1.4383,1.4393,1.4388,16925.50522,16935.05646,16930.09203,755226.3452,-2163688.091,1566616.143,1.432476571,16899.89336,1.432476571,16899.89336
5 71  1,89.75,90.25,90.0,16885.00469,16867.63206,16882.97753,-106.5464726,19143.61979,-843016.3762,89.83694782,16885.8098,90.0,16882.97715
5 71  2,12.1684,12.6684,12.4184,16868.04577,16886.11749,16882.97753,-94.33439496,2379.107937,1886.198704,12.60997083,16886.43917,12.1684,16868.04539
5 71  3,2.6018,2.6518,2.6268,16871.59546,16864.59128,16868.0803,20.90635817,-249.9172701,17380.30748,5.977063728,16633.42139,2.678318,16860.91859
5 71  5,0.1294,0.1794,0.1544,16873.80616,16865.72406,16860.8515,14261.7728,-4565.677537,17225.80058,0.1600669706,16860.39312,0.1600669706,16860.39312
5 71  7,2.3627,2.4127,2.3877,16855.48882,16864.01134,16859.76563,-24.88070698,289.2656101,16310.93381,5.813050456,17151.69122,2.3627,16855.48845
5 73  1,58.6797,59.1797,58.9297,16855.45671,16855.56425,16855.5099,0.009274807235,-0.8780306638,16875.04327,47.33417318,16854.26247,58.092903,16855.33603
5 73  2,-0.05,0.45,0.2,16864.19952,16856.75462,16855.32487,82.43521429,-47.86388828,16861.60024,0.2903121481,16854.65212,0.2903121481,16854.65212
5 73  3,0.8199,0.8699,0.8449,16855.79302,16855.88926,16855.84117,-0.04461458011,2.000087521,16854.18314,22.41517814,16876.59893,0.8199,16855.79265
5 73  5,1.8109,1.8609,1.8359,16855.71955,16855.72245,16855.72104,-0.06924861809,0.3122728209,16855.38114,2.254722401,16855.73281,1.8109,16855.71917
5 73  7,2.975,3.025,3.0,16855.80005,16855.76441,16855.78202,0.3316853981,-2.702883622,16860.9055,4.074468814,16855.39872,3.0,16855.78164
5 74  1,62.1881,62.6881,62.4381,16856.301,16855.34155,16855.78202,0.6280782191,-80.35091636,19424.16738,63.96569242,16854.316,63.314981,16854.58194
5 74  2,27.574,28.074,27.824,16854.74939,16854.59472,16854.60202,1.120536465,-62.66494304,17730.7001,27.96202756,16854.5803,27.96202756,16854.5803
5 74  3,0.706,0.756,0.731,16855.09301,16855.69025,16854.5691,1316.039376,-1912.104635,17549.07748,0.7264617872,16854.54162,0.7264617872,16854.54162
5 74  5,3.0735,3.1235,3.0985,16854.45126,16854.49094,16854.46835,4.394891407,-26.44149364,16894.20328,3.008207848,16854.43215,3.042765,16854.4374
5 74  7,1.5453,1.5953,1.5703,16854.36472,16854.70439,16854.50072,54.13559553,-163.224888,16977.32293,1.507556039,16854.28723,1.529847,16854.31412
5 95  1,89.1521,89.6521,89.4021,16884.73233,16837.55917,16854.33542,108.965352,-19577.80891,896220.3299,89.83501889,16833.91289,89.83501889,16833.91289
5 95  2,33.5351,34.0351,33.7851,16822.84186,16835.68023,16830.63971,-22.05866949,1516.185443,-9215.344193,34.36711002,16838.11139,33.5351,16822.84148
5 95  3,1.884,1.934,1.909,16821.43169,16820.13977,16822.77627,-3184.866657,12133.98244,5265.552841,1.904943558,16822.8283,1.934,16820.1394
5 95  5,-0.015,0.035,0.01,16785.68289,16865.70265,16820.13871,8886.492031,1422.665253,16805.02341,-0.08004650474,16748.08335,0.01,16820.13834
5 95  7,1.3561,1.4061,1.3811,16843.32918,16792.93483,16820.13871,-3210.730817,7860.793633,12087.86406,1.224143985,16899.2353,1.4061,16792.93446
5102  1,32.5354,33.0354,32.7854,16767.48255,16819.50137,16792.96236,8.47360716,-451.5835706,22490.17871,26.64647783,16473.62254,32.210046,16735.90856
5102  2,15.3166,15.8166,15.5666,16784.4912,16692.60498,16735.87467,42.77479547,-1515.488694,29961.73378,17.71473922,16538.48991,15.974766,16667.9909
5102  3,1.7173,1.7673,1.7423,16694.3,16650.79534,16669.87829,4271.006774,-15752.8435,31150.94968,1.844160444,16625.56388,1.784973,16640.52587
5102  5,-0.015,0.035,0.01,16701.68915,16592.4467,16634.97179,19353.81681,-2571.925299,16658.75566,0.06644491171,16573.30962,0.03535,16592.0227
5102  7,2.975,3.025,3.0,16593.07394,16594.0742,16591.96723,2570.939694,-15405.63294,39670.40881,2.996109356,16591.92794,2.996109356,16591.92794
3 18  1,141.1038,141.3538,141.2288,16602.04159,16584.53317,16592.00568,82.02876964,-23239.68307,1662593.668,141.6556848,16577.05715,141.6556848,16577.05715
3 18  4,-0.8032,-0.8082,-0.8057,16565.40657,16571.13715,16568.03979,37130.46502,58685.91515,39747.9478,-0.7902663637,16559.19505,-0.795168,16560.08715
3 18  8,0.99875,1.00125,1.0,16552.36686,16551.32354,16552.16268,-203190.237,405963.1452,-186220.7455,0.998973059,16552.3766,1.0,16552.16231
3 18  9,1.5907,1.6007,1.5957,16550.58538,16554.02187,16552.16268,5637.831219,-17648.92579,30359.17795,1.565222964,16546.92561,1.574793,16547.44196
3 18 13,-0.0895,-0.0905,-0.09,16541.85829,16550.19695,16547.53434,-6026871.719,-1093175.57,-33020.60604,-0.09069179011,16550.41827,-0.0895,16541.85792
3 18 14,4.6648,4.6698,4.6673,16543.02669,16540.84253,16541.86763,10716.95864,-100475.3532,252035.5864,4.687680366,16537.41587,4.687680366,16537.41587
4 12  1,0.2962,0.2972,0.2967,16536.81227,16538.05138,16537.42656,21081.68345,-11270.76231,18025.62238,0.2673117242,16519.21855,0.293238,16533.38907
4 12  2,1.5463,1.5473,1.5468,16533.34459,16533.31936,16533.28222,199015.6164,-615699.946,492735.1372,1.5468634,16533.28105,1.5468634,16533.28105
4 12  3,12.99375,13.00625,13.0,16532.5529,16534.16,16533.34645,255.9954506,-6527.313607,58125.19219,12.74888595,16517.20346,12.8638125,16520.58467
3 17  1,9.875,10.125,10.0,16521.64531,16521.64531,16521.64531,,,,10.0,,10.0,
3 17  4,0.3541,0.3591,0.3566,16521.64531,16521.64531,16521.64531,,,,0.3566,,0.3566,
3 17  8,0.23895,0.24145,0.2402,16521.64531,16521.64531,16521.64531,,,,0.2402,,0.2402,
3 17  9,1.9175,1.9275,1.9225,16521.64531,16521.64531,16521.64531,,,,1.9225,,1.9225,
3 17 13,-0.1345,-0.1355,-0.135,16521.64531,16521.64531,16521.64531,,,,-0.135,,-0.135,
3 17 14,5.5964,5.6014,5.5989,16521.64531,16521.64531,16521.64531,,,,5.5989,,5.5989,
3 10  1,199.875,200.125,200.0,16538.38404,16505.74048,16521.64531,26.68480749,-10804.49724,1110028.794,202.4466027,16361.91329,200.0,16521.64494
3 10  4,-0.3125,-0.3175,-0.315,16519.11563,16525.54141,16521.64531,109314.4422,67582.94335,26963.54693,-0.30912175,16517.86771,-0.309375,16517.87472
3 10  8,0.41235,0.41485,0.4136,16520.25527,16515.82162,16518.0215,10845.24331,-10744.64811,19106.76684,0.4953622432,16445.51998,0.4189985,16508.76316
3 10  9,2.7186,2.7286,2.7236,16509.07344,16507.35862,16508.14426,2870.741045,-15808.98224,38270.33995,2.753467135,16505.58306,2.753467135,16505.58306
3 10 13,-0.0483,-0.0493,-0.0488,16473.7857,16540.15686,16504.08916,11528471.49,1058807.661,40719.53985,-0.04592142425,16408.56159,-0.047817,16449.98578
3 10 14,4.9441,4.9491,4.9466,16470.23662,16476.10587,16473.10579,10473.42735,-102441.8601,266939.2717,4.890560494,16440.21439,4.894659,16440.39032
4 13  1,0.3315648426,0.3325648426,0.3320648426,16410.29293,16415.42147,16412.71286,577370.3814,-378320.277,78374.6418,0.3276235578,16401.32386,0.3282491942,16401.54985
4 13  2,1.819951191,1.820951191,1.820451191,16400.28236,16399.53806,16399.67164,954276.0359,-3475170.195,3180266.016,1.820841174,16399.52614,1.820841174,16399.52614
4 13  3,10.1324,10.1449,10.13865,16397.42264,16403.44809,16399.62443,20760.08049,-420476.3436,2145487.266,10.1270403,16396.82591,10.1270403,16396.82591
4 13  4,1.431976571,1.432976571,1.432476571,16391.79516,16401.45812,16396.40595,882782.1446,-2519466.522,1814013.808,1.427003558,16369.96283,1.427003558,16369.96283
5 71  1,89.75,90.25,90.0,16368.01013,16328.27957,16348.03241,1.799029559,-403.2864451,38071.67304,112.084441,15470.60481,90.0,16348.03205
5 71  2,11.9184,12.4184,12.1684,16353.04867,16343.85861,16348.03241,6.739661741,-182.4019346,17569.63068,13.53197991,16335.50065,12.542584,16342.09814
5 71  3,2.653318,2.703318,2.678318,16345.35382,16338.75478,16342.02885,40.71234775,-350.0621744,16987.56124,4.299213798,16235.06481,2.73035118,16335.27133
5 71  5,0.1350669706,0.1850669706,0.1600669706,16344.5202,16328.44468,16335.28011,1923.725662,-937.3603766,16436.03193,0.2436315102,16321.84631,0.1869176403,16328.0339
5 71  7,2.3377,2.3877,2.3627,16324.11818,16332.16316,16328.11844,35.57525926,-7.207790486,16146.55469,0.1013034148,16146.18924,2.314323,16320.41749
5 73  1,57.842903,58.342903,58.092903,16320.87237,16320.98762,16320.92931,0.01088725682,-1.034452387,16344.2815,47.50748531,16319.70902,57.26447397,16320.74547
5 73  2,0.04031214809,0.5403121481,0.2903121481,16319.72456,16321.63654,16320.6802,0.005614682654,3.820699146,16319.57053,-340.2417716,15669.58946,0.2,16320.33453
5 73  3,0.7949,0.8449,0.8199,16320.37676,16320.42252,16320.39965,-0.01985929557,0.9477757616,16319.63592,23.8622704,16330.94359,0.7949,16320.37639
5 73  5,1.7859,1.8359,1.8109,16320.38453,16320.38592,16320.38524,-0.03333103086,0.1484868169,16320.22565,2.227456113,16320.39066,1.7859,16320.38416
