lineno,section,title,ffield_value,qm_value,weight,error,total_ff_error,difference
5,ENERGY,Energy +bulk_0/  1 -bulk_c3/  1,-0.4702,-0.4633,1.0,0.0,0.0123,0.006900000000000017
8,ENERGY,Energy +bulk_0/  1 -bulk_0/  1,0.0,-0.0001,1.0,0.0,0.0139,-0.0001
33,ENERGY,Energy +c22_0/  1 -c22_0/  1,0.0,-0.0001,1.0,0.0,1.0509,-0.0001
20,ENERGY,Energy +c11_0/  1 -c11_0/  1,0.0,-0.0001,1.0,0.0,0.6451,-0.0001
62,ENERGY,Energy +c12_0/  1 -c12_e3/  1,-0.1776,-0.172,1.0,0.0,1.5737,0.005600000000000022
61,ENERGY,Energy +c12_0/  1 -c12_e2/  1,-0.0788,-0.0764,1.0,0.0,1.5737,0.0023999999999999994
60,ENERGY,Energy +c12_0/  1 -c12_e1/  1,-0.0197,-0.0191,1.0,0.0,1.5737,0.0005999999999999998
46,ENERGY,Energy +c33_0/  1 -c33_0/  1,0.0,-0.0001,1.0,0.0,1.5586,-0.0001
57,ENERGY,Energy +c12_0/  1 -c12_c2/  1,-0.0788,-0.0764,1.0,0.0,1.5736,0.0023999999999999994
58,ENERGY,Energy +c12_0/  1 -c12_c1/  1,-0.0197,-0.0191,1.0,0.0,1.5736,0.0005999999999999998
56,ENERGY,Energy +c12_0/  1 -c12_c3/  1,-0.1776,-0.172,1.0,0.0,1.5736,0.005600000000000022
59,ENERGY,Energy +c12_0/  1 -c12_0/  1,0.0,-0.0001,1.0,0.0,1.5736,-0.0001
111,ENERGY,Energy +c55_0/  1 -c55_0/  1,0.0,-0.0001,1.0,0.0,6.6521,-0.0001
98,ENERGY,Energy +c44_0/  1 -c44_0/  1,0.0,-0.0001,1.0,0.0,4.7228,-0.0001
85,ENERGY,Energy +c23_0/  1 -c23_0/  1,0.0,-0.0001,1.0,0.0,3.1137,-0.0001
72,ENERGY,Energy +c13_0/  1 -c13_0/  1,0.0,-0.0001,1.0,0.0,2.0219,-0.0001
124,ENERGY,Energy +c66_0/  1 -c66_0/  1,0.0,-0.0001,1.0,0.0,7.892,-0.0001
63,ENERGY,Energy +c12_0/  1 -c12_e4/  1,-0.316,-0.3058,1.0,0.0001,1.5738,0.010199999999999987
123,ENERGY,Energy +c66_0/  1 -c66_c1/  1,-0.0184,-0.0102,1.0,0.0001,7.892,0.008199999999999999
125,ENERGY,Energy +c66_0/  1 -c66_e1/  1,-0.0184,-0.0102,1.0,0.0001,7.8921,0.008199999999999999
55,ENERGY,Energy +c12_0/  1 -c12_c4/  1,-0.316,-0.3058,1.0,0.0001,1.5736,0.010199999999999987
97,ENERGY,Energy +c44_0/  1 -c44_c1/  1,-0.03,-0.0155,1.0,0.0002,4.7228,0.014499999999999999
112,ENERGY,Energy +c55_0/  1 -c55_e1/  1,-0.03,-0.0155,1.0,0.0002,6.6523,0.014499999999999999
99,ENERGY,Energy +c44_0/  1 -c44_e1/  1,-0.03,-0.0155,1.0,0.0002,4.723,0.014499999999999999
110,ENERGY,Energy +c55_0/  1 -c55_c1/  1,-0.03,-0.0155,1.0,0.0002,6.6521,0.014499999999999999
54,ENERGY,Energy +c12_0/  1 -c12_c5/  1,-0.4945,-0.4778,1.0,0.0003,1.5735,0.016699999999999993
64,ENERGY,Energy +c12_0/  1 -c12_e5/  1,-0.4945,-0.4778,1.0,0.0003,1.5741,0.016699999999999993
47,ENERGY,Energy +c33_0/  1 -c33_e1/  1,-0.0363,-0.0112,1.0,0.0006,1.5592,0.025099999999999997
53,ENERGY,Energy +c12_0/  1 -c12_c6/  1,-0.7135,-0.688,1.0,0.0007,1.5732,0.025500000000000078
7,ENERGY,Energy +bulk_0/  1 -bulk_c1/  1,-0.0781,-0.0513,1.0,0.0007,0.0139,0.026800000000000004
65,ENERGY,Energy +c12_0/  1 -c12_e6/  1,-0.7135,-0.688,1.0,0.0007,1.5747,0.025500000000000078
6,ENERGY,Energy +bulk_0/  1 -bulk_c2/  1,-0.2345,-0.2056,1.0,0.0008,0.0132,0.02889999999999998
122,ENERGY,Energy +c66_0/  1 -c66_c2/  1,-0.0746,-0.0409,1.0,0.0011,7.892,0.0337
45,ENERGY,Energy +c33_0/  1 -c33_c1/  1,0.0219,-0.0112,1.0,0.0011,1.5586,-0.0331
126,ENERGY,Energy +c66_0/  1 -c66_e2/  1,-0.0747,-0.0409,1.0,0.0011,7.8932,0.033800000000000004
