lineno,section,title,ffield_value,qm_value,weight,error,total_error,difference
94,ENERGY,Energy +AlN_w_010_H2O_bd/  1 -AlN_w_010_H2O_diss/  1,-45.0199,-38.7,0.25,639.0664,1582.1459,6.319899999999997
62,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_4_1/  1,-66.3986,-114.82,2.0,586.1573,867.0829,-48.42139999999999
2,GEOMETRY,AlOH3_opt            Bond distance:   1   2,1.7887,1.7,0.01,78.6017,78.6017,-0.0887
98,ENERGY,Energy +AlN_w_010_HO_H_bd/  1 -AlN_w_010_HO_H_md/  1,-10.7761,-2.0,1.0,77.0194,1683.3589,8.7761
95,ENERGY,Energy +AlN_w_010_H2O/  1 -AlN_w_010_H2O_diss/  1,-34.1154,-38.7,1.0,21.0181,1603.1641,-4.584600000000002
52,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_2_1/  1,-15.0456,-25.79,2.5,18.4708,236.9456,-10.744399999999999
70,ENERGY,Energy +OAlO_a118/  1 -OAlO_a158/  1,-28.3913,-35.9,2.0,14.0953,902.5376,-7.5086999999999975
32,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a96/  1,-9.1349,-5.56,1.0,12.7799,166.2058,3.5749000000000004
49,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_1_5/  1,-24.4402,-15.94,2.5,11.5606,212.146,8.500200000000001
47,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_1_1/  1,-192.6322,-360.68,50.0,11.296,200.276,-168.0478
25,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a166/  1,49.5638,-24.97,25.0,8.8885,141.3354,-74.5338
93,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a064/  1,-18.4773,-30.1,4.0,8.4429,943.0795,-11.622700000000002
53,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_2_3/  1,-29.8188,-44.22,5.0,8.2958,245.2414,-14.4012
12,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a101/  1,-5.7414,-3.02,1.0,7.4059,115.4278,2.7213999999999996
33,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a101/  1,-5.7414,-3.02,1.0,7.4059,173.6117,2.7213999999999996
73,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a164/  1,-6.8162,-4.1,1.0,7.3776,915.8307,2.7162000000000006
3,GEOMETRY,Valence angle:   1   2   5,124.4017,119.0,2.0,7.2947,85.8964,-5.401700000000005
55,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_2_7/  1,-51.3576,-77.24,10.0,6.699,255.6394,-25.882399999999997
67,ENERGY,Energy +OAlO_a118/  1 -OAlO_a143/  1,-14.7778,-12.2,1.0,6.6451,884.7731,2.5778
51,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_1_9/  1,-2.5485,-8.55,2.5,5.7629,218.4748,-6.0015
11,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a96/  1,-9.1349,-5.56,1.5,5.6799,108.022,3.5749000000000004
66,ENERGY,Energy +OAlO_a118/  1 -OAlO_a138/  1,-10.1415,-7.8,1.0,5.4825,878.1279,2.341500000000001
74,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a159/  1,-5.8095,-3.5,1.0,5.3339,921.1646,2.3095
9,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a86/  1,-18.7152,-14.13,2.0,5.2561,98.1039,4.585199999999999
30,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a86/  1,-18.7152,-14.13,2.0,5.2561,149.1878,4.585199999999999
56,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_2_9/  1,-59.0614,-90.89,15.0,4.5025,260.1419,-31.8286
60,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_3_7/  1,-63.0445,-115.85,25.0,4.4615,276.9451,-52.805499999999995
59,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_3_5/  1,-62.6176,-115.4,25.0,4.4576,272.4836,-52.7824
31,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a91/  1,-13.2873,-9.17,2.0,4.2381,153.4259,4.1173
10,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a91/  1,-13.2873,-9.17,2.0,4.2381,102.342,4.1173
24,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a161/  1,-18.3058,-20.36,1.0,4.2198,132.4469,-2.054199999999998
57,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_3_1/  1,-62.3629,-102.62,20.0,4.0516,264.1935,-40.2571
61,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_3_9/  1,-65.972,-115.85,25.0,3.9805,280.9256,-49.878
58,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_3_3/  1,-63.6578,-112.6,25.0,3.8325,268.026,-48.94219999999999
65,ENERGY,Energy +OAlO_a118/  1 -OAlO_a133/  1,-6.2356,-4.3,1.0,3.7466,872.6454,1.9356
54,ENERGY,Energy +AlOH3_opt/  1 -AlOH3b_2_5/  1,-42.4671,-61.7,10.0,3.6991,248.9404,-19.2329
71,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a174/  1,-8.4626,-4.8,2.0,3.3537,905.8913,3.6626000000000003
96,ENERGY,Energy +AlN_w_010_H2O/  1 -AlN_w_010_H2O_bd/  1,10.9045,2.0,5.0,3.1716,1606.3357,-8.9045
8,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a81/  1,-25.398,-20.96,2.5,3.1514,92.8478,4.437999999999999
34,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a106/  1,-3.1015,-1.33,1.0,3.1382,176.7499,1.7715
13,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a106/  1,-3.1015,-1.33,1.0,3.1382,118.5661,1.7715
69,ENERGY,Energy +OAlO_a118/  1 -OAlO_a153/  1,-23.3551,-26.0,1.5,3.1091,888.4423,-2.6449
75,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a154/  1,-4.7267,-3.0,1.0,2.9816,924.1462,1.7267000000000001
21,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a146/  1,-11.0078,-9.32,1.0,2.8485,127.7058,1.6877999999999993
42,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a146/  1,-11.0078,-9.32,1.0,2.8485,185.8896,1.6877999999999993
92,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a069/  1,-16.3874,-23.1,4.0,2.8162,934.6366,-6.712600000000002
41,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a141/  1,-8.2004,-6.54,1.0,2.757,183.0411,1.6604
20,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a141/  1,-8.2004,-6.54,1.0,2.757,124.8572,1.6604
72,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a169/  1,-7.7011,-4.5,2.0,2.5618,908.4531,3.2011000000000003
5,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a66/  1,-52.0984,-60.05,5.0,2.5291,88.4256,-7.951599999999999
46,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a166/  1,49.5638,-24.97,54.0,1.9051,188.98,-74.5338
64,ENERGY,Energy +OAlO_a118/  1 -OAlO_a128/  1,-3.1516,-1.9,1.0,1.5666,868.8989,1.2516000000000003
40,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a136/  1,-5.4682,-4.22,1.0,1.558,180.2841,1.2482000000000006
19,ENERGY,Energy +AlHOHNH2_opt/  1 -AlHOHNH2_a136/  1,-5.4682,-4.22,1.0,1.558,122.1002,1.2482000000000006
86,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a099/  1,-3.9331,-2.7,1.0,1.5205,929.5482,1.2330999999999999
76,ENERGY,Energy +AlOH3_opt/  1 -AlOH_a149/  1,-3.6123,-2.4,1.0,1.4697,925.6159,1.2123
