iter,molecular_formula,molecular_mass
0,N128Al128,5245.696
25,N128Al128,5245.696
50,N128Al128,5245.696
75,N128Al128,5245.696
100,N128Al128,5245.696
125,N128Al128,5245.696
150,N128Al128,5245.696
175,N128Al128,5245.696
200,N128Al128,5245.696
225,N128Al128,5245.696
250,N128Al128,5245.696
275,N128Al128,5245.696
300,N128Al128,5245.696
325,N128Al128,5245.696
350,N128Al128,5245.696
375,N128Al128,5245.696
400,N128Al128,5245.696
425,N128Al128,5245.696
450,N128Al128,5245.696
475,N128Al128,5245.696
500,N128Al128,5245.696
525,N128Al128,5245.696
550,N128Al128,5245.696
575,N128Al128,5245.696
600,N128Al128,5245.696
625,N128Al128,5245.696
650,N128Al128,5245.696
675,N128Al128,5245.696
700,N128Al128,5245.696
725,N128Al128,5245.696
750,N128Al128,5245.696
775,N128Al128,5245.696
800,N128Al128,5245.696
825,N128Al128,5245.696
850,N128Al128,5245.696
875,N128Al128,5245.696
900,N128Al128,5245.696
925,N128Al128,5245.696
950,N128Al128,5245.696
975,N128Al128,5245.696
1000,N128Al128,5245.696
1025,N128Al128,5245.696
1050,N128Al128,5245.696
1075,N128Al128,5245.696
1100,N128Al128,5245.696
1125,N128Al128,5245.696
1150,N128Al128,5245.696
1175,N128Al128,5245.696
1200,N128Al128,5245.696
1225,N128Al128,5245.696
1250,N128Al128,5245.696
1275,N128Al128,5245.696
1300,N128Al128,5245.696
1325,N128Al128,5245.696
1350,N128Al128,5245.696
1375,N128Al128,5245.696
1400,N128Al128,5245.696
1425,N128Al128,5245.696
1450,N128Al128,5245.696
1475,N128Al128,5245.696
1500,N128Al128,5245.696
1525,N128Al128,5245.696
1550,N128Al128,5245.696
1575,N128Al128,5245.696
1600,N128Al128,5245.696
1625,N128Al128,5245.696
1650,N128Al128,5245.696
1675,N128Al128,5245.696
1700,N128Al128,5245.696
1725,N128Al128,5245.696
1750,N128Al128,5245.696
1775,N128Al128,5245.696
1800,N128Al128,5245.696
1825,N128Al128,5245.696
1850,N128Al128,5245.696
1875,N128Al128,5245.696
1900,N128Al128,5245.696
1925,N128Al128,5245.696
1950,N128Al128,5245.696
1975,N128Al128,5245.696
2000,N128Al128,5245.696
2025,N128Al128,5245.696
2050,N128Al128,5245.696
2075,N128Al128,5245.696
2100,N128Al128,5245.696
2125,N128Al128,5245.696
2150,N128Al128,5245.696
2175,N128Al128,5245.696
2200,N128Al128,5245.696
2225,N128Al128,5245.696
2250,N128Al128,5245.696
2275,N128Al128,5245.696
2300,N128Al128,5245.696
2325,N128Al128,5245.696
2350,N128Al128,5245.696
2375,N128Al128,5245.696
2400,N128Al128,5245.696
2425,N128Al128,5245.696
2450,N128Al128,5245.696
2475,N128Al128,5245.696
2500,N128Al128,5245.696
2525,N128Al128,5245.696
2550,N128Al128,5245.696
2575,N128Al128,5245.696
2600,N128Al128,5245.696
2625,N128Al128,5245.696
2650,N128Al128,5245.696
2675,N128Al128,5245.696
2700,N128Al128,5245.696
2725,N128Al128,5245.696
2750,N128Al128,5245.696
2775,N128Al128,5245.696
2800,N128Al128,5245.696
2825,N128Al128,5245.696
2850,N128Al128,5245.696
2875,N128Al128,5245.696
2900,N128Al128,5245.696
2925,N128Al128,5245.696
2950,N128Al128,5245.696
2975,N128Al128,5245.696
3000,N128Al128,5245.696
3025,N128Al128,5245.696
3050,N128Al128,5245.696
3075,N128Al128,5245.696
3100,N128Al128,5245.696
3125,N128Al128,5245.696
3150,N128Al128,5245.696
3175,N128Al128,5245.696
3200,N128Al128,5245.696
3225,N128Al128,5245.696
3250,N128Al128,5245.696
3275,N128Al128,5245.696
3300,N128Al128,5245.696
3325,N128Al128,5245.696
3350,N128Al128,5245.696
3375,N128Al128,5245.696
3400,N128Al128,5245.696
3425,N128Al128,5245.696
3450,N128Al128,5245.696
3475,N128Al128,5245.696
3500,N128Al128,5245.696
3525,N128Al128,5245.696
3550,N128Al128,5245.696
3575,N128Al128,5245.696
3600,N128Al128,5245.696
3625,N128Al128,5245.696
3650,N128Al128,5245.696
3675,N128Al128,5245.696
3700,N128Al128,5245.696
3725,N128Al128,5245.696
3750,N128Al128,5245.696
3775,N128Al128,5245.696
3800,N128Al128,5245.696
3825,N128Al128,5245.696
3850,N128Al128,5245.696
3875,N128Al128,5245.696
3900,N128Al128,5245.696
3925,N128Al128,5245.696
3950,N128Al128,5245.696
3975,N128Al128,5245.696
4000,N128Al128,5245.696
4025,N128Al128,5245.696
