total_molecules,total_atoms,total_molecular_mass,iter
11,286,5425.846,0
11,286,5425.846,25
11,286,5425.846,50
11,286,5425.846,75
11,286,5425.846,100
11,286,5425.846,125
11,286,5425.846,150
11,286,5425.846,175
11,286,5425.846,200
11,286,5425.846,225
11,286,5425.846,250
11,286,5425.846,275
11,286,5425.846,300
11,286,5425.846,325
11,286,5425.846,350
11,286,5425.846,375
11,286,5425.846,400
11,286,5425.846,425
11,286,5425.846,450
11,286,5425.846,475
11,286,5425.846,500
11,286,5425.846,525
11,286,5425.846,550
11,286,5425.846,575
11,286,5425.846,600
11,286,5425.846,625
11,286,5425.846,650
11,286,5425.846,675
11,286,5425.846,700
11,286,5425.846,725
11,286,5425.846,750
11,286,5425.846,775
11,286,5425.846,800
11,286,5425.846,825
11,286,5425.846,850
11,286,5425.846,875
11,286,5425.846,900
11,286,5425.846,925
11,286,5425.846,950
11,286,5425.846,975
11,286,5425.846,1000
11,286,5425.846,1025
11,286,5425.846,1050
11,286,5425.846,1075
11,286,5425.846,1100
11,286,5425.846,1125
11,286,5425.846,1150
11,286,5425.846,1175
11,286,5425.846,1200
11,286,5425.846,1225
11,286,5425.846,1250
11,286,5425.846,1275
11,286,5425.846,1300
11,286,5425.846,1325
11,286,5425.846,1350
11,286,5425.846,1375
11,286,5425.846,1400
11,286,5425.846,1425
11,286,5425.846,1450
11,286,5425.846,1475
11,286,5425.846,1500
11,286,5425.846,1525
11,286,5425.846,1550
11,286,5425.846,1575
11,286,5425.846,1600
11,286,5425.846,1625
11,286,5425.846,1650
11,286,5425.846,1675
11,286,5425.846,1700
11,286,5425.846,1725
11,286,5425.846,1750
11,286,5425.846,1775
11,286,5425.846,1800
11,286,5425.846,1825
11,286,5425.846,1850
11,286,5425.846,1875
11,286,5425.846,1900
11,286,5425.846,1925
11,286,5425.846,1950
11,286,5425.846,1975
11,286,5425.846,2000
11,286,5425.846,2025
11,286,5425.846,2050
11,286,5425.846,2075
11,286,5425.846,2100
11,286,5425.846,2125
11,286,5425.846,2150
11,286,5425.846,2175
11,286,5425.846,2200
11,286,5425.846,2225
11,286,5425.846,2250
11,286,5425.846,2275
11,286,5425.846,2300
11,286,5425.846,2325
11,286,5425.846,2350
11,286,5425.846,2375
11,286,5425.846,2400
11,286,5425.846,2425
11,286,5425.846,2450
11,286,5425.846,2475
11,286,5425.846,2500
11,286,5425.846,2525
11,286,5425.846,2550
11,286,5425.846,2575
11,286,5425.846,2600
11,286,5425.846,2625
11,286,5425.846,2650
11,286,5425.846,2675
11,286,5425.846,2700
11,286,5425.846,2725
11,286,5425.846,2750
11,286,5425.846,2775
11,286,5425.846,2800
11,286,5425.846,2825
11,286,5425.846,2850
11,286,5425.846,2875
11,286,5425.846,2900
11,286,5425.846,2925
11,286,5425.846,2950
11,286,5425.846,2975
11,286,5425.846,3000
11,286,5425.846,3025
11,286,5425.846,3050
11,286,5425.846,3075
11,286,5425.846,3100
11,286,5425.846,3125
11,286,5425.846,3150
11,286,5425.846,3175
11,286,5425.846,3200
11,286,5425.846,3225
11,286,5425.846,3250
11,286,5425.846,3275
11,286,5425.846,3300
11,286,5425.846,3325
11,286,5425.846,3350
11,286,5425.846,3375
11,286,5425.846,3400
11,286,5425.846,3425
11,286,5425.846,3450
11,286,5425.846,3475
11,286,5425.846,3500
11,286,5425.846,3525
11,286,5425.846,3550
11,286,5425.846,3575
11,286,5425.846,3600
11,286,5425.846,3625
11,286,5425.846,3650
11,286,5425.846,3675
11,286,5425.846,3700
11,286,5425.846,3725
11,286,5425.846,3750
11,286,5425.846,3775
11,286,5425.846,3800
11,286,5425.846,3825
11,286,5425.846,3850
11,286,5425.846,3875
11,286,5425.846,3900
11,286,5425.846,3925
11,286,5425.846,3950
11,286,5425.846,3975
11,286,5425.846,4000
11,286,5425.846,4025
11,286,5425.846,4050
11,286,5425.846,4075
11,286,5425.846,4100
11,286,5425.846,4125
11,286,5425.846,4150
11,286,5425.846,4175
11,286,5425.846,4200
11,286,5425.846,4225
11,286,5425.846,4250
11,286,5425.846,4275
11,286,5425.846,4300
11,286,5425.846,4325
11,286,5425.846,4350
11,286,5425.846,4375
11,286,5425.846,4400
11,286,5425.846,4425
11,286,5425.846,4450
11,286,5425.846,4475
11,286,5425.846,4500
11,286,5425.846,4525
11,286,5425.846,4550
11,286,5425.846,4575
11,286,5425.846,4600
11,286,5425.846,4625
11,286,5425.846,4650
11,286,5425.846,4675
11,286,5425.846,4700
11,286,5425.846,4725
11,286,5425.846,4750
11,286,5425.846,4775
11,286,5425.846,4800
11,286,5425.846,4825
11,286,5425.846,4850
11,286,5425.846,4875
11,286,5425.846,4900
11,286,5425.846,4925
11,286,5425.846,4950
11,286,5425.846,4975
11,286,5425.846,5000
11,286,5425.846,5025
11,286,5425.846,5050
11,286,5425.846,5075
11,286,5425.846,5100
11,286,5425.846,5125
11,286,5425.846,5150
11,286,5425.846,5175
11,286,5425.846,5200
11,286,5425.846,5225
11,286,5425.846,5250
11,286,5425.846,5275
11,286,5425.846,5300
11,286,5425.846,5325
11,286,5425.846,5350
11,286,5425.846,5375
11,286,5425.846,5400
11,286,5425.846,5425
11,286,5425.846,5450
11,286,5425.846,5475
11,286,5425.846,5500
11,286,5425.846,5525
11,286,5425.846,5550
11,286,5425.846,5575
11,286,5425.846,5600
11,286,5425.846,5625
11,286,5425.846,5650
11,286,5425.846,5675
11,286,5425.846,5700
11,286,5425.846,5725
11,286,5425.846,5750
11,286,5425.846,5775
11,286,5425.846,5800
11,286,5425.846,5825
11,286,5425.846,5850
11,286,5425.846,5875
11,286,5425.846,5900
11,286,5425.846,5925
11,286,5425.846,5950
11,286,5425.846,5975
11,286,5425.846,6000
11,286,5425.846,6025
11,286,5425.846,6050
11,286,5425.846,6075
11,286,5425.846,6100
11,286,5425.846,6125
11,286,5425.846,6150
11,286,5425.846,6175
11,286,5425.846,6200
11,286,5425.846,6225
11,286,5425.846,6250
11,286,5425.846,6275
11,286,5425.846,6300
11,286,5425.846,6325
11,286,5425.846,6350
11,286,5425.846,6375
11,286,5425.846,6400
11,286,5425.846,6425
11,286,5425.846,6450
11,286,5425.846,6475
11,286,5425.846,6500
11,286,5425.846,6525
11,286,5425.846,6550
11,286,5425.846,6575
11,286,5425.846,6600
11,286,5425.846,6625
11,286,5425.846,6650
11,286,5425.846,6675
11,286,5425.846,6700
11,286,5425.846,6725
11,286,5425.846,6750
11,286,5425.846,6775
11,286,5425.846,6800
11,286,5425.846,6825
11,286,5425.846,6850
11,286,5425.846,6875
11,286,5425.846,6900
11,286,5425.846,6925
11,286,5425.846,6950
11,286,5425.846,6975
11,286,5425.846,7000
11,286,5425.846,7025
11,286,5425.846,7050
11,286,5425.846,7075
11,286,5425.846,7100
11,286,5425.846,7125
11,286,5425.846,7150
11,286,5425.846,7175
11,286,5425.846,7200
11,286,5425.846,7225
11,286,5425.846,7250
11,286,5425.846,7275
11,286,5425.846,7300
11,286,5425.846,7325
11,286,5425.846,7350
11,286,5425.846,7375
11,286,5425.846,7400
11,286,5425.846,7425
11,286,5425.846,7450
11,286,5425.846,7475
11,286,5425.846,7500
11,286,5425.846,7525
11,286,5425.846,7550
11,286,5425.846,7575
11,286,5425.846,7600
11,286,5425.846,7625
11,286,5425.846,7650
11,286,5425.846,7675
11,286,5425.846,7700
11,286,5425.846,7725
11,286,5425.846,7750
11,286,5425.846,7775
11,286,5425.846,7800
11,286,5425.846,7825
11,286,5425.846,7850
11,286,5425.846,7875
11,286,5425.846,7900
11,286,5425.846,7925
11,286,5425.846,7950
11,286,5425.846,7975
11,286,5425.846,8000
11,286,5425.846,8025
11,286,5425.846,8050
11,286,5425.846,8075
11,286,5425.846,8100
11,286,5425.846,8125
11,286,5425.846,8150
11,286,5425.846,8175
11,286,5425.846,8200
11,286,5425.846,8225
11,286,5425.846,8250
11,286,5425.846,8275
11,286,5425.846,8300
11,286,5425.846,8325
11,286,5425.846,8350
11,286,5425.846,8375
11,286,5425.846,8400
11,286,5425.846,8425
11,286,5425.846,8450
11,286,5425.846,8475
11,286,5425.846,8500
11,286,5425.846,8525
11,286,5425.846,8550
11,286,5425.846,8575
11,286,5425.846,8600
11,286,5425.846,8625
11,286,5425.846,8650
11,286,5425.846,8675
11,286,5425.846,8700
11,286,5425.846,8725
11,286,5425.846,8750
11,286,5425.846,8775
11,286,5425.846,8800
11,286,5425.846,8825
11,286,5425.846,8850
11,286,5425.846,8875
11,286,5425.846,8900
11,286,5425.846,8925
11,286,5425.846,8950
11,286,5425.846,8975
11,286,5425.846,9000
11,286,5425.846,9025
11,286,5425.846,9050
11,286,5425.846,9075
11,286,5425.846,9100
11,286,5425.846,9125
11,286,5425.846,9150
11,286,5425.846,9175
11,286,5425.846,9200
11,286,5425.846,9225
11,286,5425.846,9250
11,286,5425.846,9275
11,286,5425.846,9300
11,286,5425.846,9325
11,286,5425.846,9350
11,286,5425.846,9375
11,286,5425.846,9400
11,286,5425.846,9425
11,286,5425.846,9450
11,286,5425.846,9475
11,286,5425.846,9500
11,286,5425.846,9525
11,286,5425.846,9550
11,286,5425.846,9575
11,286,5425.846,9600
11,286,5425.846,9625
11,286,5425.846,9650
11,286,5425.846,9675
11,286,5425.846,9700
11,286,5425.846,9725
11,286,5425.846,9750
11,286,5425.846,9775
11,286,5425.846,9800
11,286,5425.846,9825
11,286,5425.846,9850
11,286,5425.846,9875
11,286,5425.846,9900
11,286,5425.846,9925
11,286,5425.846,9950
11,286,5425.846,9975
11,286,5425.846,10000
11,286,5425.846,10025
11,286,5425.846,10050
11,286,5425.846,10075
11,286,5425.846,10100
11,286,5425.846,10125
11,286,5425.846,10150
11,286,5425.846,10175
11,286,5425.846,10200
11,286,5425.846,10225
11,286,5425.846,10250
11,286,5425.846,10275
11,286,5425.846,10300
11,286,5425.846,10325
11,286,5425.846,10350
11,286,5425.846,10375
11,286,5425.846,10400
11,286,5425.846,10425
11,286,5425.846,10450
11,286,5425.846,10475
11,286,5425.846,10500
11,286,5425.846,10525
11,286,5425.846,10550
11,286,5425.846,10575
11,286,5425.846,10600
11,286,5425.846,10625
11,286,5425.846,10650
11,286,5425.846,10675
11,286,5425.846,10700
11,286,5425.846,10725
11,286,5425.846,10750
11,286,5425.846,10775
11,286,5425.846,10800
11,286,5425.846,10825
11,286,5425.846,10850
11,286,5425.846,10875
11,286,5425.846,10900
11,286,5425.846,10925
11,286,5425.846,10950
11,286,5425.846,10975
11,286,5425.846,11000
11,286,5425.846,11025
11,286,5425.846,11050
11,286,5425.846,11075
11,286,5425.846,11100
11,286,5425.846,11125
11,286,5425.846,11150
11,286,5425.846,11175
11,286,5425.846,11200
11,286,5425.846,11225
11,286,5425.846,11250
11,286,5425.846,11275
11,286,5425.846,11300
11,286,5425.846,11325
11,286,5425.846,11350
11,286,5425.846,11375
11,286,5425.846,11400
11,286,5425.846,11425
11,286,5425.846,11450
11,286,5425.846,11475
11,286,5425.846,11500
11,286,5425.846,11525
11,286,5425.846,11550
11,286,5425.846,11575
11,286,5425.846,11600
11,286,5425.846,11625
11,286,5425.846,11650
11,286,5425.846,11675
11,286,5425.846,11700
11,286,5425.846,11725
11,286,5425.846,11750
11,286,5425.846,11775
11,286,5425.846,11800
11,286,5425.846,11825
11,286,5425.846,11850
11,286,5425.846,11875
11,286,5425.846,11900
11,286,5425.846,11925
11,286,5425.846,11950
11,286,5425.846,11975
11,286,5425.846,12000
11,286,5425.846,12025
11,286,5425.846,12050
11,286,5425.846,12075
11,286,5425.846,12100
11,286,5425.846,12125
11,286,5425.846,12150
11,286,5425.846,12175
11,286,5425.846,12200
11,286,5425.846,12225
11,286,5425.846,12250
11,286,5425.846,12275
11,286,5425.846,12300
11,286,5425.846,12325
11,286,5425.846,12350
11,286,5425.846,12375
11,286,5425.846,12400
11,286,5425.846,12425
11,286,5425.846,12450
11,286,5425.846,12475
11,286,5425.846,12500
11,286,5425.846,12525
11,286,5425.846,12550
11,286,5425.846,12575
11,286,5425.846,12600
11,286,5425.846,12625
11,286,5425.846,12650
11,286,5425.846,12675
11,286,5425.846,12700
11,286,5425.846,12725
11,286,5425.846,12750
11,286,5425.846,12775
11,286,5425.846,12800
11,286,5425.846,12825
11,286,5425.846,12850
11,286,5425.846,12875
11,286,5425.846,12900
11,286,5425.846,12925
11,286,5425.846,12950
11,286,5425.846,12975
11,286,5425.846,13000
11,286,5425.846,13025
11,286,5425.846,13050
11,286,5425.846,13075
11,286,5425.846,13100
11,286,5425.846,13125
11,286,5425.846,13150
11,286,5425.846,13175
11,286,5425.846,13200
11,286,5425.846,13225
11,286,5425.846,13250
11,286,5425.846,13275
11,286,5425.846,13300
11,286,5425.846,13325
11,286,5425.846,13350
11,286,5425.846,13375
11,286,5425.846,13400
11,286,5425.846,13425
11,286,5425.846,13450
11,286,5425.846,13475
11,286,5425.846,13500
11,286,5425.846,13525
11,286,5425.846,13550
11,286,5425.846,13575
11,286,5425.846,13600
11,286,5425.846,13625
11,286,5425.846,13650
11,286,5425.846,13675
11,286,5425.846,13700
11,286,5425.846,13725
11,286,5425.846,13750
11,286,5425.846,13775
11,286,5425.846,13800
11,286,5425.846,13825
11,286,5425.846,13850
11,286,5425.846,13875
11,286,5425.846,13900
11,286,5425.846,13925
11,286,5425.846,13950
11,286,5425.846,13975
11,286,5425.846,14000
11,286,5425.846,14025
11,286,5425.846,14050
11,286,5425.846,14075
11,286,5425.846,14100
11,286,5425.846,14125
11,286,5425.846,14150
11,286,5425.846,14175
11,286,5425.846,14200
11,286,5425.846,14225
