section,weight,lit,inline_comment,group_comment,op1,id1,n1,op2,id2,n2,op3,id3,n3
ENERGY,1.0,-1.2904,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_c5,1,,,
ENERGY,1.0,-0.8249,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_c4,1,,,
ENERGY,1.0,-0.4633,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_c3,1,,,
ENERGY,1.0,-0.2056,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_c2,1,,,
ENERGY,1.0,-0.0513,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_c1,1,,,
ENERGY,1.0,-0.0001,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_0,1,,,
ENERGY,1.0,-0.0511,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_e1,1,,,
ENERGY,1.0,-0.204,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_e2,1,,,
ENERGY,1.0,-0.4578,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_e3,1,,,
ENERGY,1.0,-0.8119,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_e4,1,,,
ENERGY,1.0,-1.2652,,Volume Bulk_EOS,+,bulk_0,1,-,bulk_e5,1,,,
ENERGY,1.0,-0.528,,Volume C11_EOS,+,c11_0,1,-,c11_c6,1,,,
ENERGY,1.0,-0.3666,,Volume C11_EOS,+,c11_0,1,-,c11_c5,1,,,
ENERGY,1.0,-0.2346,,Volume C11_EOS,+,c11_0,1,-,c11_c4,1,,,
ENERGY,1.0,-0.132,,Volume C11_EOS,+,c11_0,1,-,c11_c3,1,,,
ENERGY,1.0,-0.0587,,Volume C11_EOS,+,c11_0,1,-,c11_c2,1,,,
ENERGY,1.0,-0.0147,,Volume C11_EOS,+,c11_0,1,-,c11_c1,1,,,
ENERGY,1.0,-0.0001,,Volume C11_EOS,+,c11_0,1,-,c11_0,1,,,
ENERGY,1.0,-0.0147,,Volume C11_EOS,+,c11_0,1,-,c11_e1,1,,,
ENERGY,1.0,-0.0587,,Volume C11_EOS,+,c11_0,1,-,c11_e2,1,,,
ENERGY,1.0,-0.132,,Volume C11_EOS,+,c11_0,1,-,c11_e3,1,,,
ENERGY,1.0,-0.2346,,Volume C11_EOS,+,c11_0,1,-,c11_e4,1,,,
ENERGY,1.0,-0.3666,,Volume C11_EOS,+,c11_0,1,-,c11_e5,1,,,
ENERGY,1.0,-0.528,,Volume C11_EOS,+,c11_0,1,-,c11_e6,1,,,
