,section,weight,op1,id1,n1,op2,id2,n2,lit,inline_comment,group_comment
0,ENERGY,1.0,+,bulk_0,1,/1,-,1,-1.2904,,Volume Bulk_EOS
1,ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.8249,,Volume Bulk_EOS
2,ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.4633,,Volume Bulk_EOS
3,ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.2056,,Volume Bulk_EOS
4,ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.0513,,Volume Bulk_EOS
5,ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.0001,,Volume Bulk_EOS
6,ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.0511,,Volume Bulk_EOS
7,ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.204,,Volume Bulk_EOS
8,ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.4578,,Volume Bulk_EOS
9,ENERGY,1.0,+,bulk_0,1,/1,-,1,-0.8119,,Volume Bulk_EOS
10,ENERGY,1.0,+,bulk_0,1,/1,-,1,-1.2652,,Volume Bulk_EOS
11,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.528,,Volume C11_EOS
12,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.3666,,Volume C11_EOS
13,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.2346,,Volume C11_EOS
14,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.132,,Volume C11_EOS
15,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.0587,,Volume C11_EOS
16,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.0147,,Volume C11_EOS
17,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.0001,,Volume C11_EOS
18,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.0147,,Volume C11_EOS
19,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.0587,,Volume C11_EOS
20,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.132,,Volume C11_EOS
21,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.2346,,Volume C11_EOS
22,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.3666,,Volume C11_EOS
23,ENERGY,1.0,+,c11_0,1,/1,-,1,-0.528,,Volume C11_EOS
24,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.528,,Volume C22_EOS
25,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.3666,,Volume C22_EOS
26,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.2346,,Volume C22_EOS
27,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.132,,Volume C22_EOS
28,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.0587,,Volume C22_EOS
29,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.0147,,Volume C22_EOS
30,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.0001,,Volume C22_EOS
31,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.0147,,Volume C22_EOS
32,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.0587,,Volume C22_EOS
33,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.132,,Volume C22_EOS
34,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.2346,,Volume C22_EOS
35,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.3666,,Volume C22_EOS
36,ENERGY,1.0,+,c22_0,1,/1,-,1,-0.528,,Volume C22_EOS
37,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.4029,,Volume C33_EOS
38,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.2798,,Volume C33_EOS
39,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.1791,,Volume C33_EOS
40,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.1007,,Volume C33_EOS
41,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.0448,,Volume C33_EOS
42,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.0112,,Volume C33_EOS
43,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.0001,,Volume C33_EOS
44,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.0112,,Volume C33_EOS
45,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.0448,,Volume C33_EOS
46,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.1007,,Volume C33_EOS
47,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.1791,,Volume C33_EOS
48,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.2798,,Volume C33_EOS
49,ENERGY,1.0,+,c33_0,1,/1,-,1,-0.4029,,Volume C33_EOS
50,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.688,,Volume C12_EOS
51,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.4778,,Volume C12_EOS
52,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.3058,,Volume C12_EOS
53,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.172,,Volume C12_EOS
54,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.0764,,Volume C12_EOS
55,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.0191,,Volume C12_EOS
56,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.0001,,Volume C12_EOS
57,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.0191,,Volume C12_EOS
58,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.0764,,Volume C12_EOS
59,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.172,,Volume C12_EOS
60,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.3058,,Volume C12_EOS
61,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.4778,,Volume C12_EOS
62,ENERGY,1.0,+,c12_0,1,/1,-,1,-0.688,,Volume C12_EOS
63,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.401,,Volume C13_EOS
64,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.2785,,Volume C13_EOS
65,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1782,,Volume C13_EOS
66,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1003,,Volume C13_EOS
67,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0446,,Volume C13_EOS
68,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0111,,Volume C13_EOS
69,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0001,,Volume C13_EOS
70,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0111,,Volume C13_EOS
71,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.0446,,Volume C13_EOS
72,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1003,,Volume C13_EOS
73,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.1782,,Volume C13_EOS
74,ENERGY,1.0,+,c13_0,1,/1,-,1,-0.2785,,Volume C13_EOS
