file,code,comments,docstrings,blank,total
webui\ui\analysis\callbacks.py,5100,17,4,320,5441
workflows\meta\study_workflow.py,2782,13,1,307,3103
engine\reaxff\adapter.py,1711,5,25,169,1910
help\help_index_loader.py,1666,36,396,386,2484
workflows\file_tools\ffield_workflow.py,1479,0,1,128,1608
analysis\timeseries\timeseries.py,1339,0,138,196,1673
engine\reaxff\generators\ffield_generator.py,1176,2,19,155,1352
engine\ams\adapter.py,860,4,3,101,968
engine\reaxff\generators\trainset_yaml.py,859,0,21,81,961
analysis\electrostatics\electrostatics.py,757,2,137,115,1011
webui\backend\node_runtime.py,750,5,4,52,811
analysis\active_sites\structural.py,702,2,10,99,813
analysis\connectivity\connectivity.py,689,0,159,92,940
workflows\trajectory_workflow.py,664,0,3,69,736
domain\data_models.py,635,3,51,172,861
engine\reaxff\io\ffield_handler.py,618,25,214,164,1021
trash\fort7_analyzer2.py,598,99,142,143,982
workflows\timeseries_workflow.py,590,0,1,75,666
core\analysis_executor.py,542,31,2,39,614
engine\reaxff\generators\trainset_heatfo.py,522,0,10,73,605
workflows\electrostatics_workflow.py,510,0,2,76,588
analysis\active_sites\reporting.py,508,0,5,74,587
workflows\connectivity_workflow.py,506,0,1,62,569
analysis\trajectory\voronoi.py,503,1,55,96,655
analysis\trajectory\rdf.py,501,1,25,77,604
engine\reaxff\generators\geo_generator.py,501,0,26,84,611
analysis\molecular_analysis\molecular_analysis.py,492,0,67,70,629
core\study\present_engine.py,465,0,1,33,499
core\study\aggregate_engine.py,460,0,1,52,513
analysis\force_field\report.py,456,1,56,82,595
analysis\molecular_analysis\isomer_detection.py,453,0,13,78,544
workflows\meta\gen_plot_workflow.py,416,13,142,100,671
engine\reaxff\generators\trainset_mp.py,413,4,3,67,487
webui\backend\utility_registry.py,409,0,8,53,470
workflows\file_tools\geo_workflow.py,401,1,1,47,450
core\storage_layout.py,399,1,9,68,477
workflows\file_tools\trainset_workflow.py,399,0,1,49,449
engine\reaxff\io\trainset_handler.py,369,54,193,159,775
analysis\active_sites\events.py,357,1,3,48,409
presentation\reporting.py,340,2,3,64,409
engine\reaxff\generators\eregime_generator.py,337,0,39,54,430
workflows\file_tools\control_workflow.py,332,0,4,45,381
webui\ui\analysis\tasks\autogen.py,319,3,1,69,392
workflows\meta\manage_workspace_workflow.py,319,0,1,50,370
workflows\meta\plot_atom_property_workflow.py,313,0,1,47,361
engine\reaxff\generators\trainset_elastic_energy.py,307,0,6,56,369
engine\reaxff\generators\xmolout_generator.py,302,0,24,53,379
cli\main.py,301,0,20,59,380
core\study\analyze_engine.py,293,0,1,16,310
webui\backend\api.py,273,0,8,44,325
analysis\connectivity\coordination.py,269,1,36,47,353
core\study\manage_engine.py,260,0,1,28,289
analysis\active_sites\defects.py,257,1,9,50,317
workflows\active_site_workflow.py,252,0,1,29,282
workflows\molecular_analysis_workflow.py,249,0,1,39,289
engine\reaxff\generators\trainset_elastic_geometry.py,240,0,4,36,280
analysis\connectivity\hybridization.py,238,0,46,40,324
analysis\trajectory\relabel.py,238,0,47,39,324
engine\reaxff\io\base.py,233,4,106,59,402
analysis\active_sites\models.py,232,0,5,16,253
analysis\force_field\trainset.py,226,0,47,50,323
analysis\validation.py,225,0,2,52,279
